"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"148",0,0,0,1,1,0,0,0,0
"149",3,2,1,0,0,0,3,3,0
"150",1,1,0,0,0,0,0,0,0
"151",0,0,0,0,0,0,0,0,0
"152",0,0,0,0,0,0,1,1,0
"153",0,0,0,1,1,0,3,3,0
"154",2,2,0,0,0,0,0,0,0
"155",2,2,0,0,0,0,3,3,0
"156",1,1,0,0,0,0,0,0,0
"157",0,0,0,0,0,0,0,0,0
"158",0,0,0,0,0,0,5,5,0
"159",5,4,1,0,0,0,8,8,0
"160",3,3,0,0,0,0,0,0,0
"161",0,0,0,0,0,0,0,0,0
"162",1,1,0,0,0,0,4,4,0
"163",1,1,0,0,0,0,2,2,0
"164",6,6,0,0,0,0,0,0,0
"165",0,0,0,0,0,0,3,3,0
"166",5,4,1,0,0,0,0,0,0
"167",1,1,0,0,0,0,0,0,0
"168",1,1,0,0,0,0,0,0,0
"169",1,1,0,0,0,0,0,0,0
"170",2,2,0,0,0,0,0,0,0
"171",2,2,0,0,0,0,0,0,0
"172",0,0,0,0,0,0,0,0,0
"173",0,0,0,0,0,0,0,0,0
"174",1,1,0,0,0,0,0,0,0
"175",2,2,0,0,0,0,0,0,0
"176",0,0,0,0,0,0,0,0,0
"177",0,0,0,0,0,0,0,0,0
"178",2,2,0,0,0,0,0,0,0
"179",3,3,0,0,0,0,6,6,0
"180",0,0,0,1,0,1,1,1,0
"181",0,0,0,0,0,0,1,1,0
"182",1,1,0,0,0,0,11,11,0
"183",1,1,0,0,0,0,0,0,0
"184",0,0,0,0,0,0,0,0,0
"185",4,4,0,0,0,0,0,0,0
"186",1,1,0,0,0,0,0,0,0
"187",1,1,0,0,0,0,1,1,0
"188",0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0,0,0
"191",0,0,0,0,0,0,2,2,0
"192",0,0,0,0,0,0,0,0,0
"193",4,4,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,0,0
"195",4,4,0,0,0,0,0,0,0
"196",1,1,0,0,0,0,11,10,1
"197",0,0,0,0,0,0,1,1,0
"198",9,9,0,2,1,1,2,1,1
"199",2,2,0,0,0,0,1,1,0
"200",1,1,0,0,0,0,0,0,0
"201",0,0,0,0,0,0,6,6,0
"202",0,0,0,0,0,0,0,0,0
"203",3,3,0,0,0,0,0,0,0
"204",0,0,0,0,0,0,0,0,0
"205",0,0,0,0,0,0,0,0,0
"206",4,4,0,0,0,0,0,0,0
"207",0,0,0,0,0,0,0,0,0
"208",6,6,0,1,1,0,0,0,0
"209",0,0,0,0,0,0,0,0,0
"210",1,1,0,0,0,0,0,0,0
"211",0,0,0,0,0,0,0,0,0
"212",3,3,0,0,0,0,1,1,0
"213",3,3,0,0,0,0,0,0,0
"214",0,0,0,0,0,0,0,0,0
"215",1,1,0,0,0,0,3,3,0
"216",10,9,1,0,0,0,5,5,0
"217",4,4,0,0,0,0,0,0,0
"218",7,6,1,0,0,0,2,2,0
"219",0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0
"221",3,3,0,0,0,0,0,0,0
"222",4,4,0,0,0,0,0,0,0
"223",4,4,0,1,1,0,0,0,0
"224",3,3,0,0,0,0,0,0,0
"225",1,1,0,0,0,0,0,0,0
"226",0,0,0,0,0,0,0,0,0
"227",0,0,0,0,0,0,0,0,0
"228",0,0,0,0,0,0,0,0,0
"229",1,1,0,0,0,0,0,0,0
"230",1,1,0,0,0,0,0,0,0
"231",1,1,0,0,0,0,0,0,0
"232",2,2,0,0,0,0,0,0,0
"233",2,2,0,0,0,0,5,5,0
"234",3,3,0,0,0,0,2,2,0
"235",0,0,0,0,0,0,0,0,0
"236",0,0,0,0,0,0,2,2,0
"237",0,0,0,0,0,0,0,0,0
"238",0,0,0,0,0,0,1,1,0
"239",2,2,0,0,0,0,0,0,0
"240",0,0,0,0,0,0,0,0,0
"241",2,2,0,0,0,0,0,0,0
"242",2,2,0,0,0,0,0,0,0
"243",1,1,0,0,0,0,2,2,0
"244",1,1,0,0,0,0,1,1,0
"245",1,1,0,0,0,0,0,0,0
"246",0,0,0,0,0,0,3,3,0
"247",5,5,0,0,0,0,0,0,0
"248",0,0,0,0,0,0,0,0,0
"249",0,0,0,0,0,0,0,0,0
"250",0,0,0,0,0,0,2,2,0
"251",2,2,0,0,0,0,0,0,0
"252",1,1,0,0,0,0,0,0,0
"253",0,0,0,0,0,0,1,1,0
"254",2,2,0,0,0,0,0,0,0
"255",0,0,0,0,0,0,1,1,0
"256",9,9,0,1,0,1,0,0,0
"257",0,0,0,0,0,0,0,0,0
"258",0,0,0,0,0,0,0,0,0
"259",2,2,0,0,0,0,0,0,0
"260",0,0,0,0,0,0,0,0,0
"261",5,5,0,0,0,0,1,1,0
"262",0,0,0,0,0,0,0,0,0
"263",7,7,0,0,0,0,1,1,0
"264",0,0,0,0,0,0,0,0,0
"265",1,1,0,0,0,0,1,1,0
"266",1,1,0,0,0,0,0,0,0
"267",0,0,0,0,0,0,0,0,0
"268",3,3,0,0,0,0,1,1,0
"269",2,2,0,0,0,0,0,0,0
"270",2,2,0,0,0,0,1,1,0
"271",3,3,0,0,0,0,1,1,0
"272",2,2,0,0,0,0,0,0,0
"273",0,0,0,0,0,0,4,4,0
"274",1,1,0,0,0,0,1,1,0
"275",7,7,0,0,0,0,0,0,0
"276",4,4,0,0,0,0,0,0,0
"277",2,2,0,0,0,0,0,0,0
"278",0,0,0,0,0,0,1,1,0
"279",0,0,0,0,0,0,0,0,0
"280",0,0,0,0,0,0,4,4,0
"281",0,0,0,0,0,0,0,0,0
"282",2,2,0,0,0,0,3,3,0
"283",6,6,0,0,0,0,0,0,0
"284",0,0,0,0,0,0,0,0,0
"285",0,0,0,0,0,0,1,1,0
"286",0,0,0,0,0,0,0,0,0
"287",3,1,2,0,0,0,0,0,0
"288",1,1,0,0,0,0,1,1,0
"289",0,0,0,0,0,0,0,0,0
"290",3,3,0,0,0,0,1,1,0
"291",2,2,0,1,1,0,0,0,0
"292",1,1,0,0,0,0,2,1,1
"293",0,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0,0,0
"295",0,0,0,0,0,0,0,0,0
"296",3,3,0,0,0,0,0,0,0
"297",0,0,0,0,0,0,0,0,0
"298",0,0,0,0,0,0,1,1,0
"299",10,10,0,0,0,0,0,0,0
"300",0,0,0,0,0,0,0,0,0
"301",10,9,1,0,0,0,1,1,0
"302",0,0,0,0,0,0,0,0,0
"303",0,0,0,0,0,0,0,0,0
"304",1,1,0,0,0,0,0,0,0
"305",0,0,0,0,0,0,0,0,0
"306",1,1,0,0,0,0,0,0,0
"307",0,0,0,0,0,0,1,1,0
"308",2,2,0,0,0,0,0,0,0
"309",1,1,0,0,0,0,0,0,0
"310",0,0,0,0,0,0,0,0,0
"311",1,0,1,1,0,1,0,0,0
"312",0,0,0,0,0,0,0,0,0
"313",0,0,0,0,0,0,0,0,0
"314",1,1,0,0,0,0,1,1,0
"315",1,1,0,0,0,0,0,0,0
"316",7,7,0,0,0,0,10,10,0
"317",1,1,0,0,0,0,0,0,0
"318",3,3,0,0,0,0,0,0,0
"319",6,6,0,0,0,0,2,2,0
"320",0,0,0,1,0,1,1,1,0
"321",0,0,0,0,0,0,12,11,1
"322",2,2,0,0,0,0,0,0,0
"323",0,0,0,0,0,0,1,1,0
"324",0,0,0,0,0,0,5,5,0
"325",5,5,0,1,1,0,1,1,0
"326",2,2,0,0,0,0,0,0,0
"327",0,0,0,0,0,0,0,0,0
"328",0,0,0,1,0,1,0,0,0
"329",6,6,0,0,0,0,0,0,0
"330",0,0,0,0,0,0,0,0,0
"331",0,0,0,0,0,0,0,0,0
"332",3,3,0,0,0,0,0,0,0
"333",1,1,0,0,0,0,0,0,0
"334",1,1,0,0,0,0,0,0,0
"335",3,3,0,0,0,0,1,1,0
"336",0,0,0,0,0,0,0,0,0
"337",0,0,0,0,0,0,5,5,0
"338",0,0,0,0,0,0,0,0,0
"339",0,0,0,0,0,0,1,1,0
"340",1,1,0,0,0,0,1,1,0
"341",0,0,0,0,0,0,0,0,0
"342",0,0,0,0,0,0,0,0,0
"343",0,0,0,0,0,0,0,0,0
"344",4,3,1,1,1,0,0,0,0
"345",0,0,0,0,0,0,0,0,0
"346",2,2,0,0,0,0,0,0,0
"347",0,0,0,0,0,0,4,3,1
