"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"220",1,1,0,0,0,0,7,6,1
"221",2,2,0,0,0,0,50,50,0
"222",2,2,0,0,0,0,21,20,1
"223",0,0,0,0,0,0,15,15,0
"224",0,0,0,0,0,0,15,15,0
"225",0,0,0,0,0,0,15,15,0
"226",0,0,0,0,0,0,0,0,0
"227",1,1,0,0,0,0,31,31,0
"228",1,1,0,1,1,0,1,1,0
"229",2,2,0,1,1,0,3,2,1
"230",0,0,0,0,0,0,1,1,0
"231",1,1,0,0,0,0,5,5,0
"232",0,0,0,0,0,0,13,12,1
"233",0,0,0,0,0,0,19,17,2
"234",0,0,0,0,0,0,31,29,2
"235",1,1,0,0,0,0,41,40,1
"236",0,0,0,0,0,0,2,2,0
"237",0,0,0,2,1,1,0,0,0
"238",3,3,0,0,0,0,2,2,0
"239",9,9,0,0,0,0,18,18,0
"240",0,0,0,0,0,0,27,27,0
"241",0,0,0,0,0,0,6,6,0
"242",0,0,0,0,0,0,61,61,0
"243",0,0,0,0,0,0,43,43,0
"244",0,0,0,0,0,0,2,2,0
"245",0,0,0,0,0,0,1,1,0
"246",0,0,0,0,0,0,65,62,3
"247",4,4,0,4,4,0,10,10,0
"248",0,0,0,4,4,0,35,35,0
"249",1,1,0,0,0,0,0,0,0
"250",0,0,0,0,0,0,13,12,1
"251",0,0,0,9,9,0,76,74,2
"252",0,0,0,0,0,0,74,73,1
"253",0,0,0,0,0,0,28,27,1
"254",0,0,0,0,0,0,28,28,0
"255",0,0,0,0,0,0,0,0,0
"256",3,3,0,0,0,0,15,14,1
"257",0,0,0,0,0,0,0,0,0
"258",0,0,0,0,0,0,1,1,0
"259",2,2,0,0,0,0,1,1,0
"260",0,0,0,0,0,0,3,3,0
"261",8,8,0,0,0,0,17,17,0
"262",0,0,0,2,2,0,0,0,0
"263",0,0,0,0,0,0,3,3,0
"264",0,0,0,0,0,0,4,4,0
"265",0,0,0,0,0,0,13,13,0
"266",0,0,0,0,0,0,1,1,0
"267",0,0,0,0,0,0,57,56,1
"268",0,0,0,0,0,0,33,32,1
"269",0,0,0,0,0,0,41,41,0
"270",1,1,0,0,0,0,1,1,0
"271",1,1,0,0,0,0,2,2,0
"272",3,3,0,0,0,0,18,17,1
"273",1,1,0,0,0,0,1,1,0
"274",1,1,0,0,0,0,0,0,0
"275",5,5,0,2,1,1,40,39,1
"276",1,1,0,0,0,0,3,3,0
"277",0,0,0,0,0,0,0,0,0
"278",2,2,0,0,0,0,29,28,1
"279",3,3,0,0,0,0,60,59,1
"280",0,0,0,0,0,0,54,53,1
"281",2,2,0,0,0,0,0,0,0
"282",0,0,0,0,0,0,0,0,0
"283",2,2,0,0,0,0,1,1,0
"284",0,0,0,0,0,0,0,0,0
"285",0,0,0,0,0,0,0,0,0
"286",0,0,0,0,0,0,54,52,2
"287",2,0,2,0,0,0,6,6,0
"288",0,0,0,0,0,0,21,20,1
"289",0,0,0,0,0,0,7,7,0
"290",0,0,0,0,0,0,42,41,1
"291",0,0,0,0,0,0,28,28,0
"292",2,2,0,0,0,0,0,0,0
"293",0,0,0,0,0,0,0,0,0
