"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",13,12,1,0,0,0,21,21,0
"2",1,0,1,1,1,0,6,5,1
"3",31,29,2,0,0,0,29,29,0
"4",3,3,0,0,0,0,0,0,0
"5",3,3,0,0,0,0,4,4,0
"6",13,13,0,0,0,0,34,33,1
"7",29,27,2,0,0,0,44,41,3
"8",9,9,0,0,0,0,66,65,1
"9",0,0,0,0,0,0,1,1,0
"10",0,0,0,0,0,0,40,40,0
"11",0,0,0,1,1,0,26,25,1
"12",0,0,0,1,1,0,64,63,1
"13",0,0,0,0,0,0,62,58,4
"14",3,3,0,0,0,0,3,3,0
"15",1,1,0,0,0,0,5,5,0
"16",0,0,0,0,0,0,96,95,1
"17",0,0,0,0,0,0,28,27,1
"18",0,0,0,0,0,0,24,23,1
"19",0,0,0,0,0,0,133,130,3
"20",0,0,0,0,0,0,21,21,0
"21",7,7,0,3,3,0,66,64,2
"22",30,30,0,0,0,0,17,17,0
"23",2,2,0,0,0,0,5,4,1
"24",5,5,0,0,0,0,6,5,1
"25",1,1,0,0,0,0,109,106,3
"26",0,0,0,0,0,0,49,49,0
"27",0,0,0,0,0,0,29,29,0
"28",1,1,0,1,1,0,104,100,4
"29",3,3,0,0,0,0,0,0,0
"30",80,79,1,0,0,0,47,44,3
"31",0,0,0,0,0,0,30,29,1
"32",0,0,0,0,0,0,48,48,0
"33",10,10,0,0,0,0,25,24,1
"34",3,3,0,0,0,0,32,31,1
"35",5,5,0,1,1,0,40,39,1
"36",0,0,0,0,0,0,91,87,4
"37",0,0,0,0,0,0,22,22,0
"38",12,12,0,0,0,0,63,62,1
"39",0,0,0,2,2,0,37,36,1
"40",1,1,0,0,0,0,16,15,1
"41",6,6,0,0,0,0,61,60,1
"42",0,0,0,0,0,0,26,26,0
"43",1,1,0,0,0,0,18,18,0
"44",34,34,0,4,4,0,6,6,0
"45",10,9,1,0,0,0,11,11,0
"46",0,0,0,0,0,0,8,6,2
"47",28,27,1,0,0,0,28,26,2
"48",0,0,0,0,0,0,16,16,0
"49",0,0,0,0,0,0,72,71,1
"50",2,2,0,0,0,0,23,23,0
"51",31,30,1,0,0,0,123,120,3
"52",3,3,0,0,0,0,21,20,1
"53",0,0,0,0,0,0,4,4,0
"54",0,0,0,0,0,0,24,24,0
"55",0,0,0,0,0,0,5,5,0
"56",6,6,0,0,0,0,9,9,0
"57",0,0,0,0,0,0,85,82,3
"58",0,0,0,0,0,0,63,60,3
"59",5,5,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,93,90,3
"61",20,20,0,2,2,0,71,71,0
"62",1,1,0,0,0,0,72,69,3
"63",0,0,0,0,0,0,0,0,0
"64",2,2,0,0,0,0,46,46,0
"65",0,0,0,0,0,0,35,34,1
"66",98,95,3,34,32,2,57,54,3
"67",0,0,0,0,0,0,43,43,0
"68",12,12,0,0,0,0,68,67,1
"69",1,1,0,0,0,0,77,73,4
"70",0,0,0,0,0,0,25,24,1
"71",1,1,0,2,2,0,68,67,1
"72",0,0,0,0,0,0,40,38,2
"73",0,0,0,0,0,0,88,86,2
"74",0,0,0,2,2,0,19,19,0
"75",76,75,1,28,28,0,0,0,0
"76",0,0,0,0,0,0,13,12,1
"77",57,56,1,0,0,0,74,73,1
"78",1,1,0,0,0,0,125,124,1
"79",11,11,0,0,0,0,18,18,0
"80",0,0,0,0,0,0,48,46,2
"81",19,19,0,1,1,0,49,49,0
"82",1,1,0,0,0,0,35,35,0
"83",26,25,1,0,0,0,39,38,1
"84",3,3,0,0,0,0,33,33,0
"85",0,0,0,92,73,19,84,83,1
"86",2,2,0,0,0,0,100,95,5
"87",1,1,0,0,0,0,24,24,0
"88",0,0,0,0,0,0,19,19,0
"89",19,19,0,0,0,0,80,78,2
"90",6,6,0,4,4,0,0,0,0
"91",11,10,1,0,0,0,3,2,1
"92",3,3,0,0,0,0,18,18,0
"93",2,2,0,0,0,0,0,0,0
"94",0,0,0,0,0,0,17,17,0
"95",0,0,0,0,0,0,1,1,0
"96",0,0,0,0,0,0,62,61,1
"97",6,6,0,0,0,0,91,87,4
"98",0,0,0,0,0,0,17,17,0
"99",4,4,0,9,8,1,74,71,3
"100",1,1,0,0,0,0,34,34,0
"101",0,0,0,0,0,0,104,102,2
"102",4,4,0,0,0,0,19,19,0
"103",4,4,0,0,0,0,34,33,1
"104",0,0,0,0,0,0,54,54,0
"105",0,0,0,1,1,0,88,85,3
"106",0,0,0,6,6,0,42,41,1
"107",10,10,0,0,0,0,0,0,0
"108",5,5,0,0,0,0,22,22,0
"109",1,1,0,0,0,0,23,21,2
"110",3,3,0,2,2,0,54,52,2
"111",0,0,0,0,0,0,25,23,2
"112",18,18,0,0,0,0,56,51,5
"113",2,2,0,14,12,2,6,6,0
"114",42,42,0,0,0,0,23,22,1
"115",5,5,0,2,2,0,10,10,0
"116",0,0,0,0,0,0,24,23,1
"117",78,74,4,0,0,0,92,91,1
"118",1,1,0,1,1,0,86,84,2
"119",0,0,0,1,1,0,78,78,0
"120",0,0,0,0,0,0,11,11,0
"121",0,0,0,0,0,0,30,29,1
"122",1,1,0,0,0,0,4,4,0
"123",11,10,1,0,0,0,20,20,0
"124",16,16,0,0,0,0,7,7,0
"125",0,0,0,0,0,0,16,15,1
"126",5,5,0,0,0,0,45,44,1
"127",3,3,0,0,0,0,2,2,0
"128",20,20,0,3,3,0,9,8,1
"129",58,54,4,3,3,0,30,27,3
"130",9,9,0,0,0,0,0,0,0
"131",5,5,0,0,0,0,4,3,1
"132",8,8,0,0,0,0,16,15,1
"133",1,1,0,0,0,0,27,26,1
"134",0,0,0,0,0,0,8,8,0
"135",13,13,0,0,0,0,24,24,0
"136",0,0,0,1,1,0,9,9,0
"137",0,0,0,2,2,0,68,68,0
"138",17,17,0,0,0,0,25,25,0
"139",1,1,0,0,0,0,40,39,1
"140",4,4,0,1,1,0,0,0,0
"141",0,0,0,0,0,0,82,77,5
"142",2,1,1,0,0,0,42,41,1
"143",0,0,0,5,5,0,87,86,1
"144",13,12,1,0,0,0,6,6,0
"145",0,0,0,3,3,0,25,24,1
"146",1,1,0,0,0,0,56,55,1
"147",0,0,0,0,0,0,0,0,0
"148",3,3,0,0,0,0,12,12,0
"149",0,0,0,0,0,0,0,0,0
"150",17,17,0,0,0,0,66,63,3
"151",0,0,0,0,0,0,2,2,0
"152",0,0,0,0,0,0,45,45,0
