"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",0,0,0,0,0,0,0,0,0
"2",2,2,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,2,2,0
"4",3,3,0,1,1,0,0,0,0
"5",3,3,0,0,0,0,5,5,0
"6",5,5,0,0,0,0,0,0,0
"7",10,10,0,0,0,0,0,0,0
"8",1,1,0,0,0,0,0,0,0
"9",1,1,0,0,0,0,17,16,1
"10",3,3,0,2,2,0,21,19,2
"11",0,0,0,0,0,0,0,0,0
"12",0,0,0,2,2,0,0,0,0
"13",0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,15,15,0
"17",0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0
"19",2,2,0,0,0,0,6,6,0
"20",8,8,0,0,0,0,0,0,0
"21",2,2,0,1,1,0,0,0,0
"22",3,3,0,0,0,0,0,0,0
"23",2,2,0,1,0,1,0,0,0
"24",0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,1,1,0
"26",0,0,0,0,0,0,18,18,0
"27",0,0,0,1,1,0,0,0,0
"28",0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,2,2,0
"30",0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0
"33",1,1,0,0,0,0,1,1,0
"34",2,2,0,1,1,0,6,6,0
"35",0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0
"37",1,1,0,0,0,0,0,0,0
"38",1,1,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0
"42",2,2,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,1,0,1
"46",0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0
