"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",10,10,0,42,42,0,79,78,1
"2",8,8,0,66,64,2,67,62,5
"3",0,0,0,0,0,0,20,20,0
"4",0,0,0,0,0,0,19,19,0
"5",7,7,0,4,4,0,47,45,2
"6",6,6,0,47,46,1,46,45,1
"7",0,0,0,0,0,0,46,46,0
"8",0,0,0,0,0,0,17,16,1
"9",0,0,0,14,14,0,50,49,1
"10",32,32,0,52,52,0,62,62,0
"11",0,0,0,0,0,0,18,18,0
"12",0,0,0,0,0,0,41,41,0
"13",7,7,0,29,29,0,81,80,1
"14",0,0,0,2,2,0,92,91,1
"15",2,2,0,0,0,0,58,58,0
"16",27,27,0,31,31,0,73,72,1
"17",0,0,0,0,0,0,62,62,0
"18",0,0,0,23,22,1,22,22,0
"19",0,0,0,42,41,1,80,80,0
"20",0,0,0,0,0,0,45,45,0
"21",0,0,0,45,45,0,86,85,1
"22",2,2,0,72,71,1,81,80,1
"23",2,2,0,69,66,3,69,68,1
"24",0,0,0,0,0,0,41,41,0
"25",0,0,0,0,0,0,37,37,0
"26",3,3,0,23,23,0,43,42,1
"27",0,0,0,0,0,0,39,39,0
"28",20,20,0,41,40,1,48,48,0
"29",13,13,0,4,4,0,86,85,1
"30",0,0,0,0,0,0,22,22,0
"31",0,0,0,24,23,1,59,58,1
"32",0,0,0,0,0,0,58,55,3
"33",23,22,1,16,16,0,78,78,0
"34",0,0,0,0,0,0,69,69,0
"35",0,0,0,12,12,0,33,33,0
"36",1,1,0,0,0,0,44,41,3
"37",0,0,0,8,8,0,67,66,1
"38",0,0,0,0,0,0,17,17,0
"39",0,0,0,10,10,0,61,61,0
"40",0,0,0,0,0,0,81,81,0
"41",0,0,0,0,0,0,18,17,1
"42",22,21,1,43,43,0,73,71,2
