"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",5,5,0,0,0,0,5,5,0
"2",10,10,0,6,6,0,24,24,0
"3",17,17,0,3,3,0,58,56,2
"4",0,0,0,2,2,0,102,99,3
"5",4,3,1,2,2,0,62,59,3
"6",21,21,0,13,13,0,81,81,0
"7",23,23,0,5,5,0,71,70,1
"8",45,45,0,0,0,0,152,148,4
"9",29,29,0,7,7,0,8,8,0
"10",16,15,1,0,0,0,13,12,1
"11",0,0,0,0,0,0,9,9,0
"12",32,31,1,32,32,0,187,186,1
"13",3,3,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,22,21,1
"15",7,7,0,1,1,0,6,5,1
"16",47,47,0,40,40,0,212,210,2
"17",14,14,0,0,0,0,55,54,1
"18",0,0,0,0,0,0,95,93,2
"19",23,23,0,0,0,0,215,208,7
"20",28,27,1,0,0,0,72,68,4
"21",41,41,0,10,10,0,0,0,0
"22",60,59,1,45,45,0,52,52,0
"23",3,3,0,1,1,0,19,19,0
"24",63,59,4,1,1,0,132,129,3
"25",11,11,0,4,4,0,159,154,5
"26",1,1,0,4,4,0,88,87,1
"27",0,0,0,0,0,0,55,55,0
"28",0,0,0,2,2,0,205,204,1
"29",5,5,0,0,0,0,49,47,2
"30",2,2,0,0,0,0,176,171,5
"31",16,15,1,12,12,0,82,80,2
"32",0,0,0,0,0,0,120,118,2
"33",2,2,0,0,0,0,0,0,0
"34",15,15,0,21,20,1,95,92,3
"35",1,1,0,0,0,0,130,128,2
"36",20,20,0,0,0,0,116,115,1
"37",14,14,0,0,0,0,20,20,0
"38",8,8,0,0,0,0,67,63,4
"39",0,0,0,6,6,0,1,1,0
"40",6,5,1,0,0,0,38,37,1
"41",32,30,2,0,0,0,32,30,2
"42",17,17,0,0,0,0,114,109,5
"43",0,0,0,17,16,1,53,53,0
"44",16,16,0,23,23,0,6,6,0
"45",3,3,0,0,0,0,0,0,0
"46",12,12,0,0,0,0,75,75,0
"47",10,10,0,0,0,0,48,47,1
"48",8,8,0,0,0,0,206,200,6
"49",32,32,0,33,33,0,182,177,5
"50",4,4,0,0,0,0,2,2,0
"51",54,50,4,65,65,0,39,38,1
"52",0,0,0,0,0,0,131,127,4
"53",15,15,0,0,0,0,48,47,1
"54",12,12,0,3,3,0,152,144,8
"55",6,6,0,0,0,0,27,25,2
"56",8,7,1,0,0,0,92,90,2
"57",7,7,0,36,36,0,143,140,3
"58",1,1,0,0,0,0,79,75,4
"59",20,20,0,0,0,0,41,36,5
"60",20,18,2,0,0,0,139,138,1
"61",17,17,0,5,5,0,136,136,0
"62",48,48,0,46,46,0,167,165,2
"63",0,0,0,0,0,0,139,131,8
"64",1,1,0,0,0,0,74,73,1
"65",38,37,1,4,4,0,59,59,0
"66",52,51,1,90,87,3,90,88,2
"67",1,1,0,0,0,0,18,18,0
"68",0,0,0,0,0,0,105,104,1
"69",15,15,0,2,2,0,139,138,1
"70",0,0,0,0,0,0,15,15,0
"71",1,0,1,5,5,0,48,47,1
"72",12,12,0,0,0,0,26,24,2
"73",0,0,0,14,13,1,82,79,3
"74",1,1,0,23,23,0,28,28,0
"75",23,23,0,2,2,0,47,47,0
"76",4,4,0,0,0,0,141,134,7
"77",17,17,0,0,0,0,20,20,0
"78",0,0,0,0,0,0,75,73,2
"79",22,22,0,40,40,0,108,105,3
"80",5,5,0,0,0,0,76,74,2
"81",29,29,0,14,14,0,52,51,1
"82",0,0,0,0,0,0,45,45,0
"83",19,18,1,1,1,0,83,80,3
"84",7,7,0,0,0,0,191,181,10
"85",0,0,0,18,18,0,71,69,2
"86",58,56,2,1,1,0,216,205,11
"87",12,10,2,4,4,0,0,0,0
"88",23,23,0,28,27,1,115,112,3
"89",9,9,0,20,20,0,21,20,1
"90",30,30,0,12,12,0,106,104,2
"91",1,1,0,0,0,0,41,39,2
"92",10,10,0,0,0,0,105,101,4
"93",13,13,0,0,0,0,21,20,1
"94",20,19,1,0,0,0,39,39,0
"95",1,1,0,0,0,0,0,0,0
"96",6,6,0,0,0,0,11,11,0
"97",28,28,0,25,25,0,216,210,6
"98",2,2,0,0,0,0,0,0,0
"99",38,37,1,39,38,1,30,28,2
"100",5,4,1,27,27,0,36,36,0
"101",1,1,0,0,0,0,93,89,4
"102",12,12,0,13,13,0,130,128,2
"103",35,35,0,1,1,0,45,44,1
"104",11,11,0,35,34,1,70,68,2
