"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.036,0.018,0.018,0.014
"WABH MMW mean_pm adapt pm",0.036,0.016,0.02,0.019
"WABH MMW 0.5 adapt pm",0.04,0.02,0.02,0.018
"WABH MMW 0.9 adapt pm",0.05,0.014,0.036,0.031
"WABH MMW mean_pm camt pm",0.12,0.044,0.076,0.0431
"WABH MMW 0.5 camt pm",0.104,0.04,0.064,0.0445
"WABH MMW 0.9 camt pm",0.112,0.042,0.07,0.0469333333333333
"Ten Rule",0.022,0.012,0.01,0.01
"Adaptive BH",0.016,0.01,0.006,0.006
"Regular BH",0.016,0.01,0.006,0.006
"IHW",0.016,0.01,0.006,0.006
"ADAPT",0,0,0,0
"SWFDR",1.15,0.016,1.134,0.0499289207868155
"CAMT",3.852,0.518,3.334,0.54516486274595
"LAWS",0.544,0.176,0.368,0.132133333333333
