"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.08,0.068,0.012,0.012
"WABH MMW mean_pm adapt pm",0.074,0.062,0.012,0.01
"WABH MMW 0.5 adapt pm",0.102,0.082,0.02,0.018
"WABH MMW 0.9 adapt pm",0.146,0.102,0.044,0.0341666666666667
"WABH MMW mean_pm camt pm",0.25,0.222,0.028,0.0177
"WABH MMW 0.5 camt pm",0.254,0.232,0.022,0.0155555555555556
"WABH MMW 0.9 camt pm",0.478,0.454,0.024,0.0178333333333333
"Ten Rule",0.066,0.056,0.01,0.01
"Adaptive BH",0.052,0.022,0.03,0.012
"Regular BH",0.052,0.022,0.03,0.012
"IHW",0.052,0.022,0.03,0.012
"ADAPT",0.216,0.186,0.03,0.00102562302562303
"SWFDR",14.45,1.06,13.39,0.144959904580587
"CAMT",12.274,9.854,2.42,0.169412985153465
"LAWS",0.932,0.678,0.254,0.085
