"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.026,0.012,0.014,0.012
"WABH MMW mean_pm adapt pm",0.03,0.014,0.016,0.015
"WABH MMW 0.5 adapt pm",0.048,0.026,0.022,0.019
"WABH MMW 0.9 adapt pm",0.08,0.044,0.036,0.0306666666666667
"WABH MMW mean_pm camt pm",0.222,0.142,0.08,0.0499333333333333
"WABH MMW 0.5 camt pm",0.234,0.156,0.078,0.0492
"WABH MMW 0.9 camt pm",0.272,0.186,0.086,0.0557
"Ten Rule",0.024,0.014,0.01,0.01
"Adaptive BH",0.016,0.01,0.006,0.006
"Regular BH",0.016,0.01,0.006,0.006
"IHW",0.016,0.01,0.006,0.006
"ADAPT",0,0,0,0
"SWFDR",1.296,0.028,1.268,0.0598
"CAMT",5.784,2.704,3.08,0.384491657511986
"LAWS",0.608,0.226,0.382,0.141965079365079
