"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.024,0.018,0.006,0.005
"WABH MMW mean_pm adapt pm",0.022,0.016,0.006,0.005
"WABH MMW 0.5 adapt pm",0.022,0.016,0.006,0.006
"WABH MMW 0.9 adapt pm",0.062,0.022,0.04,0.034
"WABH MMW mean_pm camt pm",0.152,0.06,0.092,0.0608333333333333
"WABH MMW 0.5 camt pm",0.128,0.048,0.08,0.052
"WABH MMW 0.9 camt pm",0.124,0.042,0.082,0.0588333333333333
"Ten Rule",0.022,0.016,0.006,0.005
"Adaptive BH",0.022,0.016,0.006,0.005
"Regular BH",0.022,0.016,0.006,0.005
"IHW",0.022,0.016,0.006,0.005
"ADAPT",0,0,0,0
"SWFDR",0.032,0.018,0.014,0.011
"CAMT",4.47,0.606,3.864,0.576049841048507
"LAWS",0.494,0.196,0.298,0.112216666666667
