"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.572,0.54,0.032,0.0121857142857143
"WABH MMW mean_pm adapt pm",0.678,0.642,0.036,0.0127772005772006
"WABH MMW 0.5 adapt pm",0.864,0.814,0.05,0.0185419769119769
"WABH MMW 0.9 adapt pm",0.806,0.716,0.09,0.0478159451659452
"WABH MMW mean_pm camt pm",3.084,2.932,0.152,0.0230964976268503
"WABH MMW 0.5 camt pm",3.466,3.31,0.156,0.0301523696728009
"WABH MMW 0.9 camt pm",4.872,4.642,0.23,0.0313716793383064
"Ten Rule",0.476,0.454,0.022,0.00985238095238095
"Adaptive BH",0.246,0.21,0.036,0.0107777777777778
"Regular BH",0.246,0.21,0.036,0.0107777777777778
"IHW",0.468,0.428,0.04,0.0106888888888889
"ADAPT",0.508,0.464,0.044,0.00151830227743271
"SWFDR",11.606,0.416,11.19,0.117480798623153
"CAMT",18.036,14.722,3.314,0.166912837013614
"LAWS",6.836,6.178,0.658,0.0893454011716637
