"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",11.362,11.19,0.172,0.00839514202361644
"WABH MMW mean_pm adapt pm",22.46,21.93,0.53,0.0160356835368997
"WABH MMW 0.5 adapt pm",23.608,23.018,0.59,0.0187958540414575
"WABH MMW 0.9 adapt pm",13.2,12.842,0.358,0.0308716954090643
"WABH MMW mean_pm camt pm",43.522,42.246,1.276,0.0252087965393008
"WABH MMW 0.5 camt pm",43.086,41.85,1.236,0.0249214368087283
"WABH MMW 0.9 camt pm",38.37,37.324,1.046,0.0236447029809474
"Ten Rule",9.604,9.458,0.146,0.00947088795435926
"Adaptive BH",10.07,9.912,0.158,0.00992258606749363
"Regular BH",9.494,9.348,0.146,0.00949153843677444
"IHW",12.652,12.41,0.242,0.0123628535302629
"ADAPT",18.24,17.516,0.724,0.0149844060996041
"SWFDR",9.53,9.38,0.15,0.0115394625516401
"CAMT",95.958,91.252,4.706,0.0454607768774102
"LAWS",111.732,108.848,2.884,0.0238861462443022
