"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",15.754,15.38,0.374,0.0142051172384316
"WABH MMW mean_pm adapt pm",30.658,29.672,0.986,0.0264926059821068
"WABH MMW 0.5 adapt pm",32.474,31.358,1.116,0.029279165948766
"WABH MMW 0.9 adapt pm",23.97,23.21,0.76,0.0430418666568033
"WABH MMW mean_pm camt pm",52.092,50.416,1.676,0.0315245011200067
"WABH MMW 0.5 camt pm",53.534,51.902,1.632,0.0309072518747025
"WABH MMW 0.9 camt pm",54.4,52.946,1.454,0.0269680420202382
"Ten Rule",14.626,14.318,0.308,0.0133315535122894
"Adaptive BH",12.562,12.348,0.214,0.0100243097121596
"Regular BH",12.468,12.264,0.204,0.00924031023855586
"IHW",19.376,18.876,0.5,0.017685329462607
"ADAPT",34.806,33.234,1.572,0.0281194295733139
"SWFDR",13.282,12.444,0.838,0.0395503436109975
"CAMT",79.526,73.722,5.804,0.0713614394230756
"LAWS",62.508,60.092,2.416,0.0365507816746501
