"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.054,0.05,0.004,0.004
"WABH MMW mean_pm adapt pm",0.224,0.216,0.008,0.00516666666666667
"WABH MMW 0.5 adapt pm",0.368,0.35,0.018,0.0108333333333333
"WABH MMW 0.9 adapt pm",0.552,0.52,0.032,0.0253333333333333
"WABH MMW mean_pm camt pm",2.516,2.418,0.098,0.020541460949773
"WABH MMW 0.5 camt pm",2.614,2.51,0.104,0.0196591862879892
"WABH MMW 0.9 camt pm",2.73,2.628,0.102,0.0191396644916218
"Ten Rule",0.044,0.04,0.004,0.004
"Adaptive BH",0.044,0.04,0.004,0.004
"Regular BH",0.044,0.04,0.004,0.004
"IHW",0.044,0.04,0.004,0.004
"ADAPT",2.17,2.022,0.148,0.00392894027289994
"SWFDR",0.052,0.042,0.01,0.006
"CAMT",52.408,48.224,4.184,0.0856789063144125
"LAWS",2.134,2.056,0.078,0.0214768134613296
