"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",17.268,16.87,0.398,0.0174352412822932
"WABH MMW mean_pm adapt pm",9.892,9.6,0.292,0.0242338800218687
"WABH MMW 0.5 adapt pm",7.152,6.926,0.226,0.025469342775425
"WABH MMW 0.9 adapt pm",1.896,1.77,0.126,0.0422064935064935
"WABH MMW mean_pm camt pm",11.938,11.514,0.424,0.022311226020902
"WABH MMW 0.5 camt pm",9.8,9.378,0.422,0.0260676841182081
"WABH MMW 0.9 camt pm",3.37,3.136,0.234,0.0362985178581309
"Ten Rule",16.038,15.674,0.364,0.0172482262999249
"Adaptive BH",16.058,15.688,0.37,0.0174593786050468
"Regular BH",16.004,15.638,0.366,0.017367168586517
"IHW",16.976,16.598,0.378,0.0174655991837113
"ADAPT",0.198,0.168,0.03,0.00121452991452991
"SWFDR",16.3,15.924,0.376,0.0175258418028185
"CAMT",24.702,22.77,1.932,0.0809746546421389
"LAWS",21.192,20.302,0.89,0.0355325967155039
