"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",9.508,9.268,0.24,0.0186212774660819
"WABH MMW mean_pm adapt pm",8.772,8.5,0.272,0.0217485486297569
"WABH MMW 0.5 adapt pm",8.366,8.06,0.306,0.0279220106689983
"WABH MMW 0.9 adapt pm",4.622,4.412,0.21,0.0367502650581699
"WABH MMW mean_pm camt pm",15.662,15.156,0.506,0.0205743338807584
"WABH MMW 0.5 camt pm",17.606,17.068,0.538,0.0247745707946815
"WABH MMW 0.9 camt pm",21.376,20.596,0.78,0.0352108329432184
"Ten Rule",8.916,8.718,0.198,0.0150049403457264
"Adaptive BH",5.858,5.736,0.122,0.0114947766108806
"Regular BH",5.842,5.72,0.122,0.0115218946590302
"IHW",9.37,9.11,0.26,0.0179047714248417
"ADAPT",6.274,5.934,0.34,0.0101529606654593
"SWFDR",18.194,5.96,12.234,0.108136242870088
"CAMT",40.108,36.02,4.088,0.0967147181129306
"LAWS",31.824,30.384,1.44,0.0438355249085141
