"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",6.004,5.892,0.112,0.0137556516148373
"WABH MMW mean_pm adapt pm",4.304,4.196,0.108,0.0149654718535809
"WABH MMW 0.5 adapt pm",4.436,4.326,0.11,0.0151926883519174
"WABH MMW 0.9 adapt pm",2.052,1.96,0.092,0.0336694628470944
"WABH MMW mean_pm camt pm",2.618,2.56,0.058,0.00494614158136652
"WABH MMW 0.5 camt pm",3.276,3.194,0.082,0.00551625758810133
"WABH MMW 0.9 camt pm",1.776,1.704,0.072,0.0115084173708316
"Ten Rule",4.952,4.862,0.09,0.0089708197652964
"Adaptive BH",1.938,1.914,0.024,0.00405257879375526
"Regular BH",1.898,1.874,0.024,0.00405257879375526
"IHW",5.262,5.176,0.086,0.00998411561534282
"ADAPT",1.1,1.022,0.078,0.00326437049362846
"SWFDR",27.694,3.044,24.65,0.194064567799037
"CAMT",13.698,12.354,1.344,0.0888073249522476
"LAWS",7.1,6.952,0.148,0.0114992113722617
