"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.706,0.672,0.034,0.0155190476190476
"WABH MMW mean_pm adapt pm",0.476,0.45,0.026,0.0172857142857143
"WABH MMW 0.5 adapt pm",0.516,0.472,0.044,0.0233190476190476
"WABH MMW 0.9 adapt pm",0.242,0.194,0.048,0.0345
"WABH MMW mean_pm camt pm",0.81,0.684,0.126,0.0325842712842713
"WABH MMW 0.5 camt pm",0.742,0.626,0.116,0.0392507936507936
"WABH MMW 0.9 camt pm",0.542,0.45,0.092,0.0445285714285714
"Ten Rule",0.596,0.568,0.028,0.0151190476190476
"Adaptive BH",0.434,0.422,0.012,0.00733333333333333
"Regular BH",0.434,0.422,0.012,0.00733333333333333
"IHW",0.542,0.524,0.018,0.00698412698412698
"ADAPT",0,0,0,0
"SWFDR",1.676,0.436,1.24,0.0537944470454067
"CAMT",7.178,3.954,3.224,0.382452285747262
"LAWS",1.164,1.064,0.1,0.0372609390609391
