"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.658,0.63,0.028,0.0146190476190476
"WABH MMW mean_pm adapt pm",0.902,0.856,0.046,0.0157649572649573
"WABH MMW 0.5 adapt pm",1.046,0.98,0.066,0.019484126984127
"WABH MMW 0.9 adapt pm",0.67,0.61,0.06,0.0316621295371295
"WABH MMW mean_pm camt pm",6.946,6.57,0.376,0.0330115518865774
"WABH MMW 0.5 camt pm",7.458,7.08,0.378,0.0362997993205134
"WABH MMW 0.9 camt pm",8.1,7.71,0.39,0.0356893263410614
"Ten Rule",0.556,0.536,0.02,0.011
"Adaptive BH",0.42,0.412,0.008,0.00566666666666667
"Regular BH",0.418,0.41,0.008,0.00566666666666667
"IHW",0.572,0.552,0.02,0.0068
"ADAPT",0.224,0.212,0.012,0.000494074074074074
"SWFDR",1.698,0.438,1.26,0.0604288096238916
"CAMT",28.624,24.458,4.166,0.144498902077125
"LAWS",8.7,8.268,0.432,0.0396009796963064
