"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",11.808,11.574,0.234,0.011509184284323
"WABH MMW mean_pm adapt pm",70.308,68.7,1.608,0.0201424614975407
"WABH MMW 0.5 adapt pm",76.974,75.278,1.696,0.0219486723346968
"WABH MMW 0.9 adapt pm",50.14,49.326,0.814,0.0220799142449053
"WABH MMW mean_pm camt pm",115.596,112.462,3.134,0.0246444874063683
"WABH MMW 0.5 camt pm",116.49,113.5,2.99,0.0237626090010499
"WABH MMW 0.9 camt pm",115.866,112.984,2.882,0.0229483504645204
"Ten Rule",10.262,10.07,0.192,0.0108178138005257
"Adaptive BH",10.582,10.39,0.192,0.010647553946859
"Regular BH",10.178,9.988,0.19,0.0107532050454364
"IHW",17.646,17.296,0.35,0.0121344641888901
"ADAPT",68.78,66.502,2.278,0.0242008608054246
"SWFDR",10.248,10.054,0.194,0.0127227955020857
"CAMT",224.638,214.726,9.912,0.0425193493250448
"LAWS",209.986,205.452,4.534,0.021399590069752
