"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",14.292,13.902,0.39,0.0218417182081003
"WABH MMW mean_pm adapt pm",8.186,7.906,0.28,0.0246127812680931
"WABH MMW 0.5 adapt pm",6.286,6.036,0.25,0.026884029560454
"WABH MMW 0.9 adapt pm",1.604,1.51,0.094,0.026920410875674
"WABH MMW mean_pm camt pm",6.77,6.502,0.268,0.0192086840355507
"WABH MMW 0.5 camt pm",6.696,6.332,0.364,0.0239412891984602
"WABH MMW 0.9 camt pm",2.722,2.542,0.18,0.0309850166760431
"Ten Rule",13.588,13.232,0.356,0.0196339244623626
"Adaptive BH",11.636,11.39,0.246,0.0148497066195994
"Regular BH",11.604,11.358,0.246,0.0148863532258112
"IHW",12.994,12.628,0.366,0.0232137319411558
"ADAPT",0.228,0.202,0.026,0.00125
"SWFDR",13.074,11.538,1.536,0.0361196234061701
"CAMT",19.034,17.144,1.89,0.0978720669870304
"LAWS",16.106,15.426,0.68,0.0337111437940825
