"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.036,0.022,0.014,0.013
"WABH MMW mean_pm adapt pm",0.06,0.032,0.028,0.0256666666666667
"WABH MMW 0.5 adapt pm",0.08,0.044,0.036,0.0336666666666667
"WABH MMW 0.9 adapt pm",0.094,0.05,0.044,0.0416666666666667
"WABH MMW mean_pm camt pm",0.14,0.11,0.03,0.022452380952381
"WABH MMW 0.5 camt pm",0.128,0.106,0.022,0.0187857142857143
"WABH MMW 0.9 camt pm",0.2,0.164,0.036,0.0255700280112045
"Ten Rule",0.026,0.018,0.008,0.007
"Adaptive BH",0.016,0.004,0.012,0.006
"Regular BH",0.016,0.004,0.012,0.006
"IHW",0.016,0.004,0.012,0.006
"ADAPT",0.14,0.114,0.026,0.00110845849802372
"SWFDR",9.012,0.124,8.888,0.109349962737232
"CAMT",5.17,3.302,1.868,0.209601556892026
"LAWS",0.528,0.216,0.312,0.131
