"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",14.506,14.11,0.396,0.02182628095538
"WABH MMW mean_pm adapt pm",14.028,13.586,0.442,0.0222871943787275
"WABH MMW 0.5 adapt pm",12.838,12.37,0.468,0.0273300547992585
"WABH MMW 0.9 adapt pm",6.234,5.954,0.28,0.0351618637125277
"WABH MMW mean_pm camt pm",27.796,26.774,1.022,0.0312848527810371
"WABH MMW 0.5 camt pm",28.656,27.616,1.04,0.0315485930602603
"WABH MMW 0.9 camt pm",27.404,26.392,1.012,0.0337770658389803
"Ten Rule",13.536,13.176,0.36,0.0219813825079008
"Adaptive BH",11.498,11.26,0.238,0.0156329690050728
"Regular BH",11.446,11.21,0.236,0.0154423594208586
"IHW",14.82,14.416,0.404,0.0187554331092085
"ADAPT",8.366,7.956,0.41,0.0121824153619612
"SWFDR",12.898,11.41,1.488,0.0381777632421222
"CAMT",51.064,46.71,4.354,0.0833595850372654
"LAWS",45.94,44.154,1.786,0.0362458167184266
