"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",135.396,132.78,2.616,0.0173961457367069
"WABH MMW mean_pm adapt pm",235.43,229.832,5.598,0.0234664804375995
"WABH MMW 0.5 adapt pm",230.568,225.314,5.254,0.0227519204999974
"WABH MMW 0.9 adapt pm",144.236,141.632,2.604,0.0189869149831115
"WABH MMW mean_pm camt pm",230.052,224.156,5.896,0.0258205786044946
"WABH MMW 0.5 camt pm",233.964,228.216,5.748,0.0248085383643112
"WABH MMW 0.9 camt pm",236.204,231.084,5.12,0.0218583243937114
"Ten Rule",130.472,128.02,2.452,0.0170770602366089
"Adaptive BH",119.03,117.022,2.008,0.0146781051504572
"Regular BH",116.574,114.692,1.882,0.0139634112283886
"IHW",141.902,139.238,2.664,0.0177581743072825
"ADAPT",182.366,177.966,4.4,0.0226823753650855
"SWFDR",119.59,114.834,4.756,0.0352997835136165
"CAMT",321.206,309.916,11.29,0.0348869799215065
"LAWS",366.782,359.366,7.416,0.0202060375703588
