"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",8.574,8.394,0.18,0.0138348559908175
"WABH MMW mean_pm adapt pm",16.364,15.932,0.432,0.0173495702815929
"WABH MMW 0.5 adapt pm",17.966,17.474,0.492,0.0194866603211068
"WABH MMW 0.9 adapt pm",10.46,10.146,0.314,0.0256173210405971
"WABH MMW mean_pm camt pm",22.858,22.202,0.656,0.0213459925718224
"WABH MMW 0.5 camt pm",24.73,24.044,0.686,0.0212442554697948
"WABH MMW 0.9 camt pm",32.142,31.208,0.934,0.0246830549255057
"Ten Rule",7.128,6.998,0.13,0.0100210379408455
"Adaptive BH",4.896,4.814,0.082,0.0074070294079155
"Regular BH",4.78,4.702,0.078,0.00723402667505424
"IHW",9.184,8.988,0.196,0.0148436406094982
"ADAPT",14.892,14.312,0.58,0.0144163914072456
"SWFDR",6.722,4.738,1.984,0.0783829662368464
"CAMT",87.518,82.832,4.686,0.0506494026249121
"LAWS",77.642,75.738,1.904,0.0218173752327348
