"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.016,0.012,0.004,0.004
"WABH MMW mean_pm adapt pm",0.032,0.022,0.01,0.01
"WABH MMW 0.5 adapt pm",0.044,0.03,0.014,0.013
"WABH MMW 0.9 adapt pm",0.084,0.04,0.044,0.0366666666666667
"WABH MMW mean_pm camt pm",1.242,1.1,0.142,0.0524020146520147
"WABH MMW 0.5 camt pm",1.236,1.104,0.132,0.0519873626373626
"WABH MMW 0.9 camt pm",1.144,1.036,0.108,0.0454138407486234
"Ten Rule",0.016,0.01,0.006,0.006
"Adaptive BH",0.016,0.01,0.006,0.006
"Regular BH",0.016,0.01,0.006,0.006
"IHW",0.016,0.01,0.006,0.006
"ADAPT",0.058,0.044,0.014,0.000482758620689655
"SWFDR",0.024,0.01,0.014,0.01
"CAMT",15.034,11.538,3.496,0.276382966393134
"LAWS",0.722,0.364,0.358,0.137154761904762
