"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",11.312,11.018,0.294,0.0186487123826186
"WABH MMW mean_pm adapt pm",20.842,20.13,0.712,0.0285308417779743
"WABH MMW 0.5 adapt pm",21.284,20.56,0.724,0.0363320541543478
"WABH MMW 0.9 adapt pm",15.78,15.324,0.456,0.036754614597592
"WABH MMW mean_pm camt pm",32.208,31.272,0.936,0.0213839216154821
"WABH MMW 0.5 camt pm",34.978,34.02,0.958,0.0259235796728689
"WABH MMW 0.9 camt pm",39.942,38.86,1.082,0.0235869223189192
"Ten Rule",10.598,10.344,0.254,0.0162085855735839
"Adaptive BH",6.946,6.844,0.102,0.00906258347492778
"Regular BH",6.926,6.826,0.1,0.00898867043144952
"IHW",12.812,12.474,0.338,0.0181760933622977
"ADAPT",25.856,24.72,1.136,0.0219423580787682
"SWFDR",17.508,6.95,10.558,0.0963949693327
"CAMT",60.182,55.242,4.94,0.0877533946997024
"LAWS",45.14,43.288,1.852,0.0470215009165616
