"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.492,0.472,0.02,0.0110666666666667
"WABH MMW mean_pm adapt pm",0.318,0.294,0.024,0.0135833333333333
"WABH MMW 0.5 adapt pm",0.352,0.312,0.04,0.0273333333333333
"WABH MMW 0.9 adapt pm",0.242,0.182,0.06,0.0466666666666667
"WABH MMW mean_pm camt pm",0.366,0.316,0.05,0.0312121212121212
"WABH MMW 0.5 camt pm",0.346,0.294,0.052,0.034
"WABH MMW 0.9 camt pm",0.438,0.366,0.072,0.0388666666666667
"Ten Rule",0.414,0.396,0.018,0.0107333333333333
"Adaptive BH",0.224,0.212,0.012,0.00556666666666667
"Regular BH",0.224,0.212,0.012,0.00556666666666667
"IHW",0.264,0.25,0.014,0.00586666666666667
"ADAPT",0,0,0,0
"SWFDR",11.892,0.314,11.578,0.116249727579251
"CAMT",5.192,2.504,2.688,0.306203918454368
"LAWS",2.124,1.792,0.332,0.0823603896103896
