"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.668,0.658,0.01,0.00497619047619048
"WABH MMW mean_pm adapt pm",0.562,0.536,0.026,0.0101857142857143
"WABH MMW 0.5 adapt pm",0.55,0.508,0.042,0.0163
"WABH MMW 0.9 adapt pm",0.284,0.236,0.048,0.0296666666666667
"WABH MMW mean_pm camt pm",1.67,1.446,0.224,0.0548864132599427
"WABH MMW 0.5 camt pm",1.372,1.188,0.184,0.047989898989899
"WABH MMW 0.9 camt pm",0.806,0.684,0.122,0.0519380952380952
"Ten Rule",0.642,0.63,0.012,0.00697619047619048
"Adaptive BH",0.648,0.636,0.012,0.00697619047619048
"Regular BH",0.642,0.63,0.012,0.00697619047619048
"IHW",0.678,0.668,0.01,0.00641904761904762
"ADAPT",0,0,0,0
"SWFDR",0.672,0.658,0.014,0.00887619047619048
"CAMT",8.77,5.012,3.758,0.364076363721512
"LAWS",1.624,1.538,0.086,0.0227802308802309
