"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",17.548,17.146,0.402,0.015994483185503
"WABH MMW mean_pm adapt pm",36.368,35.184,1.184,0.0286812047018056
"WABH MMW 0.5 adapt pm",38.09,36.784,1.306,0.0312948704406296
"WABH MMW 0.9 adapt pm",27.916,26.97,0.946,0.0395998412900006
"WABH MMW mean_pm camt pm",69.656,67.562,2.094,0.0306048026582906
"WABH MMW 0.5 camt pm",69.1,67.17,1.93,0.0288541921842959
"WABH MMW 0.9 camt pm",64.954,63.316,1.638,0.0276085648934168
"Ten Rule",16.42,16.058,0.362,0.0156747388710593
"Adaptive BH",16.48,16.112,0.368,0.015873400579721
"Regular BH",16.406,16.048,0.358,0.015471185114874
"IHW",22.602,22.01,0.592,0.0212233629598999
"ADAPT",36.784,35.052,1.732,0.0305573649917074
"SWFDR",16.704,16.324,0.38,0.0161057284363931
"CAMT",85.76,79.98,5.78,0.0653422600412772
"LAWS",74.626,71.446,3.18,0.0411909943447782
