"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",6.95,6.83,0.12,0.0115798319837917
"WABH MMW mean_pm adapt pm",32.76,32.028,0.732,0.020732143725336
"WABH MMW 0.5 adapt pm",38.326,37.502,0.824,0.0230722121833447
"WABH MMW 0.9 adapt pm",27.724,27.268,0.456,0.0211101958174225
"WABH MMW mean_pm camt pm",31.782,30.694,1.088,0.0129842333233562
"WABH MMW 0.5 camt pm",37.074,36.202,0.872,0.0138380036328524
"WABH MMW 0.9 camt pm",62.466,60.818,1.648,0.0218994556336558
"Ten Rule",5.936,5.838,0.098,0.00887179798721871
"Adaptive BH",2.236,2.22,0.016,0.00226168831168831
"Regular BH",2.188,2.174,0.014,0.00159880952380952
"IHW",8.196,8.062,0.134,0.00744994987649396
"ADAPT",44.37,42.97,1.4,0.0199825419460251
"SWFDR",25.87,3.23,22.64,0.178857191898569
"CAMT",152.594,145.094,7.5,0.0487058950372081
"LAWS",90.652,88.916,1.736,0.0181567548629239
