"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.024,0.01,0.014,0.014
"WABH MMW mean_pm adapt pm",0.04,0.02,0.02,0.02
"WABH MMW 0.5 adapt pm",0.064,0.036,0.028,0.028
"WABH MMW 0.9 adapt pm",0.118,0.06,0.058,0.0516666666666667
"WABH MMW mean_pm camt pm",0.554,0.48,0.074,0.0340746031746032
"WABH MMW 0.5 camt pm",0.58,0.512,0.068,0.03195
"WABH MMW 0.9 camt pm",0.664,0.596,0.068,0.0390686274509804
"Ten Rule",0.018,0.006,0.012,0.012
"Adaptive BH",0.012,0.004,0.008,0.008
"Regular BH",0.012,0.004,0.008,0.008
"IHW",0.016,0.006,0.01,0.009
"ADAPT",0,0,0,0
"SWFDR",0.644,0.008,0.636,0.0495555555555556
"CAMT",12.436,9.2,3.236,0.257194895659868
"LAWS",0.626,0.3,0.326,0.124138095238095
