"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",166.106,162.828,3.278,0.0190258064876016
"WABH MMW mean_pm adapt pm",192.742,187.212,5.53,0.027849136055186
"WABH MMW 0.5 adapt pm",181.284,175.994,5.29,0.0284332723802219
"WABH MMW 0.9 adapt pm",81.624,79.12,2.504,0.0313556764767092
"WABH MMW mean_pm camt pm",172.94,167.724,5.216,0.0305796100820544
"WABH MMW 0.5 camt pm",156.382,151.604,4.778,0.0309181221466119
"WABH MMW 0.9 camt pm",80.146,77.708,2.438,0.0283298736549819
"Ten Rule",157.886,154.922,2.964,0.0178073014377724
"Adaptive BH",160.878,157.71,3.168,0.0188479153973983
"Regular BH",157.57,154.62,2.95,0.0177627556691412
"IHW",164.27,161.326,2.944,0.0172618101521782
"ADAPT",119.014,116.42,2.594,0.0192645265093918
"SWFDR",157.676,154.714,2.962,0.0178117221048719
"CAMT",205.914,199.396,6.518,0.0311954680080945
"LAWS",337.386,328.392,8.994,0.026560095312185
