"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",85.954,84.284,1.67,0.0173092330270233
"WABH MMW mean_pm adapt pm",157.284,153.808,3.476,0.021400106292433
"WABH MMW 0.5 adapt pm",155.654,152.418,3.236,0.0225849194630258
"WABH MMW 0.9 adapt pm",102.882,101.22,1.662,0.018190265076062
"WABH MMW mean_pm camt pm",138.34,135.35,2.99,0.0170145330732775
"WABH MMW 0.5 camt pm",151.41,148.402,3.008,0.0170660289047605
"WABH MMW 0.9 camt pm",183.764,180.028,3.736,0.0196112599782322
"Ten Rule",83.038,81.45,1.588,0.0173177444920811
"Adaptive BH",59.006,58.256,0.75,0.0108399695359281
"Regular BH",57.924,57.208,0.716,0.0104226051722037
"IHW",86.868,85.308,1.56,0.0166979934166566
"ADAPT",131.99,129.054,2.936,0.0205375538073352
"SWFDR",95.028,58.358,36.67,0.164165016339053
"CAMT",256.49,246.526,9.964,0.0396775961483855
"LAWS",256.64,251.738,4.902,0.0187876699237701
