"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",5.38,5.284,0.096,0.00940384641689715
"WABH MMW mean_pm adapt pm",9.28,9.072,0.208,0.0123487783144947
"WABH MMW 0.5 adapt pm",10.608,10.388,0.22,0.0149209830710774
"WABH MMW 0.9 adapt pm",6.97,6.778,0.192,0.0320504703029067
"WABH MMW mean_pm camt pm",9.114,8.666,0.448,0.00905593915148847
"WABH MMW 0.5 camt pm",10.998,10.756,0.242,0.010024855519917
"WABH MMW 0.9 camt pm",25.376,24.498,0.878,0.0225975706923779
"Ten Rule",4.41,4.316,0.094,0.00966769348774292
"Adaptive BH",1.696,1.674,0.022,0.00556160041729302
"Regular BH",1.642,1.622,0.02,0.00556300097751711
"IHW",5.568,5.464,0.104,0.0082383475428544
"ADAPT",11.63,11.134,0.496,0.0118509082231151
"SWFDR",26.282,2.878,23.404,0.201191310127096
"CAMT",72.842,68.438,4.404,0.0575329528516602
"LAWS",40.628,39.76,0.868,0.0181739969484133
