"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.024,0.02,0.004,0.004
"WABH MMW mean_pm adapt pm",0.026,0.024,0.002,0.002
"WABH MMW 0.5 adapt pm",0.038,0.028,0.01,0.009
"WABH MMW 0.9 adapt pm",0.048,0.026,0.022,0.0166666666666667
"WABH MMW mean_pm camt pm",0.388,0.29,0.098,0.0422984126984127
"WABH MMW 0.5 camt pm",0.368,0.282,0.086,0.0453586080586081
"WABH MMW 0.9 camt pm",0.338,0.256,0.082,0.0542555555555556
"Ten Rule",0.026,0.018,0.008,0.007
"Adaptive BH",0.026,0.018,0.008,0.007
"Regular BH",0.026,0.018,0.008,0.007
"IHW",0.026,0.018,0.008,0.007
"ADAPT",0,0,0,0
"SWFDR",0.038,0.02,0.018,0.013
"CAMT",6.972,3.442,3.53,0.426258216024858
"LAWS",0.536,0.22,0.316,0.125380952380952
