"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.05,0.046,0.004,0.004
"WABH MMW mean_pm adapt pm",0.118,0.112,0.006,0.006
"WABH MMW 0.5 adapt pm",0.152,0.144,0.008,0.007
"WABH MMW 0.9 adapt pm",0.146,0.118,0.028,0.0193333333333333
"WABH MMW mean_pm camt pm",0.966,0.894,0.072,0.0248430014430014
"WABH MMW 0.5 camt pm",0.964,0.892,0.072,0.0242041125541126
"WABH MMW 0.9 camt pm",1.004,0.926,0.078,0.0237871295371295
"Ten Rule",0.046,0.04,0.006,0.006
"Adaptive BH",0.046,0.04,0.006,0.006
"Regular BH",0.046,0.04,0.006,0.006
"IHW",0.048,0.042,0.006,0.006
"ADAPT",0.158,0.138,0.02,0.000743810786914235
"SWFDR",0.058,0.044,0.014,0.012
"CAMT",17.846,14.84,3.006,0.173139797582242
"LAWS",0.578,0.558,0.02,0.00993333333333333
