"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.032,0.018,0.014,0.014
"WABH MMW mean_pm adapt pm",0.026,0.016,0.01,0.01
"WABH MMW 0.5 adapt pm",0.042,0.018,0.024,0.022
"WABH MMW 0.9 adapt pm",0.082,0.026,0.056,0.052
"WABH MMW mean_pm camt pm",0.098,0.058,0.04,0.0334242424242424
"WABH MMW 0.5 camt pm",0.094,0.06,0.034,0.0264166666666667
"WABH MMW 0.9 camt pm",0.134,0.086,0.048,0.0404166666666667
"Ten Rule",0.03,0.018,0.012,0.012
"Adaptive BH",0.032,0.012,0.02,0.016
"Regular BH",0.032,0.012,0.02,0.016
"IHW",0.03,0.012,0.018,0.016
"ADAPT",0,0,0,0
"SWFDR",9.56,0.186,9.374,0.122463667759506
"CAMT",2.534,1.02,1.514,0.251723785875068
"LAWS",0.452,0.132,0.32,0.132244444444444
