"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",82.958,81.34,1.618,0.0191004577646776
"WABH MMW mean_pm adapt pm",95.408,93.012,2.396,0.024413493288435
"WABH MMW 0.5 adapt pm",89.844,87.614,2.23,0.0248733868725742
"WABH MMW 0.9 adapt pm",45.87,44.718,1.152,0.0293359994274991
"WABH MMW mean_pm camt pm",57.402,56.312,1.09,0.0128046960713609
"WABH MMW 0.5 camt pm",63.264,62.022,1.242,0.0144400950362184
"WABH MMW 0.9 camt pm",75.748,73.824,1.924,0.0229226327646779
"Ten Rule",80.196,78.636,1.56,0.0190525015306022
"Adaptive BH",56.852,56.202,0.65,0.00838287692004193
"Regular BH",55.656,55.04,0.616,0.0081354802610376
"IHW",79.524,78.158,1.366,0.0170754271320315
"ADAPT",75.572,73.916,1.656,0.0182651290327223
"SWFDR",96.358,56.586,39.772,0.162943277415561
"CAMT",144.636,139.16,5.476,0.0367179396798504
"LAWS",188.51,184.206,4.304,0.022184152566481
