"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.07,0.064,0.006,0.005
"WABH MMW mean_pm adapt pm",0.092,0.078,0.014,0.011
"WABH MMW 0.5 adapt pm",0.102,0.09,0.012,0.01
"WABH MMW 0.9 adapt pm",0.1,0.076,0.024,0.017
"WABH MMW mean_pm camt pm",0.374,0.284,0.09,0.0394082706766917
"WABH MMW 0.5 camt pm",0.38,0.28,0.1,0.0437873706004141
"WABH MMW 0.9 camt pm",0.364,0.258,0.106,0.0493701754385965
"Ten Rule",0.06,0.056,0.004,0.004
"Adaptive BH",0.06,0.056,0.004,0.004
"Regular BH",0.06,0.056,0.004,0.004
"IHW",0.068,0.062,0.006,0.005
"ADAPT",0,0,0,0
"SWFDR",0.072,0.056,0.016,0.01
"CAMT",6.946,3.556,3.39,0.412756679895194
"LAWS",0.152,0.132,0.02,0.0130666666666667
