"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",17.292,16.916,0.376,0.0152260296176895
"WABH MMW mean_pm adapt pm",17.012,16.462,0.55,0.024680915557693
"WABH MMW 0.5 adapt pm",15.678,15.092,0.586,0.0295303932528202
"WABH MMW 0.9 adapt pm",7.964,7.588,0.376,0.0354100007226479
"WABH MMW mean_pm camt pm",41.772,40.094,1.678,0.0390750039058043
"WABH MMW 0.5 camt pm",40.008,38.472,1.536,0.0371268707989287
"WABH MMW 0.9 camt pm",32.208,31.04,1.168,0.0364334423681992
"Ten Rule",16.348,16,0.348,0.0154976469515919
"Adaptive BH",16.392,16.042,0.35,0.0156130829947111
"Regular BH",16.334,15.986,0.348,0.0155295268449785
"IHW",19.062,18.582,0.48,0.0203332165865109
"ADAPT",9.036,8.508,0.528,0.0153057675642492
"SWFDR",16.59,16.226,0.364,0.0162857801650422
"CAMT",57.174,52.572,4.602,0.0770967301056503
"LAWS",57.03,54.632,2.398,0.0405256122218619
