"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.85,0.814,0.036,0.0130880952380952
"WABH MMW mean_pm adapt pm",3.432,3.316,0.116,0.0127672356375204
"WABH MMW 0.5 adapt pm",4.954,4.77,0.184,0.0291255277418506
"WABH MMW 0.9 adapt pm",4.906,4.694,0.212,0.0520822106149757
"WABH MMW mean_pm camt pm",17.282,16.672,0.61,0.0286402638774645
"WABH MMW 0.5 camt pm",18.376,17.774,0.602,0.0298404887057563
"WABH MMW 0.9 camt pm",20.042,19.452,0.59,0.0289103683680488
"Ten Rule",0.67,0.646,0.024,0.0115047619047619
"Adaptive BH",0.55,0.526,0.024,0.0117666666666667
"Regular BH",0.548,0.524,0.024,0.0117666666666667
"IHW",1.326,1.266,0.06,0.012682150039503
"ADAPT",7.97,7.548,0.422,0.0101963814525591
"SWFDR",1.084,0.538,0.546,0.0498419913419913
"CAMT",52.01,46.936,5.074,0.100301221556389
"LAWS",18.984,18.162,0.822,0.0397339406096419
