"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.054,0.046,0.008,0.008
"WABH MMW mean_pm adapt pm",0.086,0.07,0.016,0.016
"WABH MMW 0.5 adapt pm",0.106,0.092,0.014,0.014
"WABH MMW 0.9 adapt pm",0.108,0.07,0.038,0.029
"WABH MMW mean_pm camt pm",0.26,0.202,0.058,0.0341333333333333
"WABH MMW 0.5 camt pm",0.284,0.222,0.062,0.0373333333333333
"WABH MMW 0.9 camt pm",0.26,0.22,0.04,0.0268333333333333
"Ten Rule",0.046,0.038,0.008,0.007
"Adaptive BH",0.032,0.026,0.006,0.006
"Regular BH",0.03,0.024,0.006,0.006
"IHW",0.03,0.024,0.006,0.006
"ADAPT",0,0,0,0
"SWFDR",1.378,0.076,1.302,0.0850352459630524
"CAMT",6.372,3.24,3.132,0.425512131527757
"LAWS",0.182,0.144,0.038,0.0205
