"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",9.558,9.388,0.17,0.0110470397396473
"WABH MMW mean_pm adapt pm",53.324,52.18,1.144,0.0169674986918779
"WABH MMW 0.5 adapt pm",60.98,59.712,1.268,0.0193171167707618
"WABH MMW 0.9 adapt pm",43.272,42.612,0.66,0.0187721422073256
"WABH MMW mean_pm camt pm",66.958,65.302,1.656,0.0229158153305509
"WABH MMW 0.5 camt pm",71.816,70.078,1.738,0.0212825490329555
"WABH MMW 0.9 camt pm",88.124,86.104,2.02,0.0238442336995706
"Ten Rule",7.838,7.706,0.132,0.00901411891578475
"Adaptive BH",5.736,5.654,0.082,0.0061868487297582
"Regular BH",5.596,5.518,0.078,0.00589280498316959
"IHW",13.548,13.284,0.264,0.011734708442336
"ADAPT",66.806,64.35,2.456,0.0258746067536457
"SWFDR",7.454,5.578,1.876,0.0706678506189685
"CAMT",196.306,187.37,8.936,0.0445374297450046
"LAWS",162.88,159.582,3.298,0.0190671428989869
