"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",11.59,11.4,0.19,0.00785443199697861
"WABH MMW mean_pm adapt pm",9.926,9.666,0.26,0.0151381920612767
"WABH MMW 0.5 adapt pm",8.894,8.608,0.286,0.0200605012854367
"WABH MMW 0.9 adapt pm",3.176,3.02,0.156,0.0286674646029869
"WABH MMW mean_pm camt pm",8.82,8.574,0.246,0.0176103883163511
"WABH MMW 0.5 camt pm",8.766,8.496,0.27,0.0195155232852958
"WABH MMW 0.9 camt pm",4.31,4.138,0.172,0.0184268654175746
"Ten Rule",10.16,10.004,0.156,0.00692505955064017
"Adaptive BH",10.538,10.374,0.164,0.00702981087153898
"Regular BH",10.104,9.948,0.156,0.00696310317460865
"IHW",11.508,11.3,0.208,0.00829916012972153
"ADAPT",1.928,1.808,0.12,0.00413470035300183
"SWFDR",10.138,9.982,0.156,0.00694176219674594
"CAMT",25.168,23.98,1.188,0.0476069710680011
"LAWS",18.89,18.392,0.498,0.0222373001283317
