"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",166.174,162.892,3.282,0.0188861309599122
"WABH MMW mean_pm adapt pm",147.952,143.838,4.114,0.0261314851795216
"WABH MMW 0.5 adapt pm",132.452,128.558,3.894,0.0280409591372598
"WABH MMW 0.9 adapt pm",46.746,45.124,1.622,0.0311717944621519
"WABH MMW mean_pm camt pm",124.534,121.028,3.506,0.0271000109103335
"WABH MMW 0.5 camt pm",109.622,106.486,3.136,0.0274041653216086
"WABH MMW 0.9 camt pm",37.336,36.144,1.192,0.0290072576801683
"Ten Rule",157.836,154.8,3.036,0.0182799378942237
"Adaptive BH",160.736,157.54,3.196,0.0189600862346608
"Regular BH",157.502,154.486,3.016,0.01819062828888
"IHW",159.824,156.978,2.846,0.0168404161496162
"ADAPT",78.18,76.642,1.538,0.0159874733387389
"SWFDR",157.552,154.53,3.022,0.0182257489284466
"CAMT",165.206,160.854,4.352,0.0270621656207833
"LAWS",170.936,165.826,5.11,0.0288977151546962
