"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.726,0.7,0.026,0.0139027777777778
"WABH MMW mean_pm adapt pm",2.654,2.574,0.08,0.0215854506540632
"WABH MMW 0.5 adapt pm",3.736,3.608,0.128,0.0294917734715666
"WABH MMW 0.9 adapt pm",3.278,3.168,0.11,0.0413357359140015
"WABH MMW mean_pm camt pm",8.352,8.05,0.302,0.0239999661545587
"WABH MMW 0.5 camt pm",9.088,8.812,0.276,0.0237431870026501
"WABH MMW 0.9 camt pm",11.978,11.568,0.41,0.0282678293253087
"Ten Rule",0.548,0.536,0.012,0.00646666666666667
"Adaptive BH",0.238,0.224,0.014,0.0054
"Regular BH",0.238,0.224,0.014,0.0054
"IHW",0.902,0.862,0.04,0.00745474802974803
"ADAPT",5.548,5.242,0.306,0.00722844805397545
"SWFDR",10.064,0.336,9.728,0.112088366971645
"CAMT",33.062,28.944,4.118,0.120229677548076
"LAWS",13.228,12.378,0.85,0.0868828854308011
