"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.06,0.052,0.008,0.008
"WABH MMW mean_pm adapt pm",0.208,0.192,0.016,0.012
"WABH MMW 0.5 adapt pm",0.38,0.35,0.03,0.022
"WABH MMW 0.9 adapt pm",0.428,0.38,0.048,0.0372222222222222
"WABH MMW mean_pm camt pm",1.376,1.338,0.038,0.0114525252525253
"WABH MMW 0.5 camt pm",1.488,1.452,0.036,0.0117142857142857
"WABH MMW 0.9 camt pm",1.906,1.862,0.044,0.0101546031746032
"Ten Rule",0.052,0.044,0.008,0.008
"Adaptive BH",0.036,0.032,0.004,0.004
"Regular BH",0.036,0.032,0.004,0.004
"IHW",0.038,0.034,0.004,0.004
"ADAPT",2.43,2.268,0.162,0.00412602942679412
"SWFDR",0.864,0.054,0.81,0.0656020979020979
"CAMT",49.718,45.592,4.126,0.0931743496152168
"LAWS",1.494,1.414,0.08,0.0201297385620915
