"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.72,0.696,0.024,0.00547142857142857
"WABH MMW mean_pm adapt pm",1.1,1.064,0.036,0.00801880341880342
"WABH MMW 0.5 adapt pm",1.25,1.186,0.064,0.0163912698412698
"WABH MMW 0.9 adapt pm",0.87,0.796,0.074,0.0313803235326765
"WABH MMW mean_pm camt pm",12.492,11.886,0.606,0.0452252333021647
"WABH MMW 0.5 camt pm",12.678,12.086,0.592,0.0438787337186107
"WABH MMW 0.9 camt pm",11.72,11.192,0.528,0.0465023872830604
"Ten Rule",0.622,0.598,0.024,0.00812784992784993
"Adaptive BH",0.622,0.598,0.024,0.00812784992784993
"Regular BH",0.622,0.598,0.024,0.00812784992784993
"IHW",0.74,0.722,0.018,0.00712051282051282
"ADAPT",0.658,0.578,0.08,0.00324363690140088
"SWFDR",0.642,0.61,0.032,0.0141056277056277
"CAMT",31.47,27.37,4.1,0.125725422310846
"LAWS",11.04,10.558,0.482,0.0335341755705862
