"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",9.164,8.992,0.172,0.0108236468095188
"WABH MMW mean_pm adapt pm",7.574,7.402,0.172,0.0132998865266886
"WABH MMW 0.5 adapt pm",7.242,7.046,0.196,0.018452660230789
"WABH MMW 0.9 adapt pm",2.85,2.706,0.144,0.035306444818859
"WABH MMW mean_pm camt pm",4.9,4.778,0.122,0.00792001565890941
"WABH MMW 0.5 camt pm",5.87,5.704,0.166,0.00918720091842442
"WABH MMW 0.9 camt pm",3.24,3.086,0.154,0.0222044390032642
"Ten Rule",7.57,7.428,0.142,0.0101476278698686
"Adaptive BH",5.584,5.498,0.086,0.00806112644255244
"Regular BH",5.316,5.236,0.08,0.00810113017056456
"IHW",8.63,8.482,0.148,0.0108590365226751
"ADAPT",1.312,1.226,0.086,0.00350598767598768
"SWFDR",7.528,5.31,2.218,0.0897967684537122
"CAMT",18.524,17.292,1.232,0.0597017793710431
"LAWS",12.138,11.854,0.284,0.0144561769977852
