"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",86.002,84.328,1.674,0.0186801298498187
"WABH MMW mean_pm adapt pm",66.736,65.018,1.718,0.0239330090670309
"WABH MMW 0.5 adapt pm",57.78,56.194,1.586,0.0252069152621286
"WABH MMW 0.9 adapt pm",20.418,19.82,0.598,0.0282893835385596
"WABH MMW mean_pm camt pm",51.578,50.318,1.26,0.0128448781188371
"WABH MMW 0.5 camt pm",51.956,50.578,1.378,0.0148688576841967
"WABH MMW 0.9 camt pm",21.928,21.248,0.68,0.0218000105376021
"Ten Rule",83.276,81.692,1.584,0.0184504553771074
"Adaptive BH",60.37,59.642,0.728,0.010162424823426
"Regular BH",59.138,58.452,0.686,0.00971752898777798
"IHW",78.878,77.528,1.35,0.0161021557389561
"ADAPT",37.984,37.178,0.806,0.013936491367691
"SWFDR",100.604,60.01,40.594,0.166072562504257
"CAMT",83.694,80.758,2.936,0.0363396769083251
"LAWS",84.694,82.706,1.988,0.0216146271873467
