"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",165.58,162.266,3.314,0.0190462422421479
"WABH MMW mean_pm adapt pm",280.328,273.46,6.868,0.0242706816185907
"WABH MMW 0.5 adapt pm",275.936,269.346,6.59,0.0236387544076488
"WABH MMW 0.9 adapt pm",168.002,164.716,3.286,0.0204187667056418
"WABH MMW mean_pm camt pm",296.438,288.908,7.53,0.0258587031716274
"WABH MMW 0.5 camt pm",292.518,285.334,7.184,0.0250295495802747
"WABH MMW 0.9 camt pm",267.11,261.046,6.064,0.0231093803409211
"Ten Rule",157.588,154.526,3.062,0.0179537446252394
"Adaptive BH",160.252,157.01,3.242,0.01876576378708
"Regular BH",157.338,154.288,3.05,0.0179373961566731
"IHW",177.64,174.298,3.342,0.018284311252184
"ADAPT",207.298,202.32,4.978,0.0233703825254208
"SWFDR",157.53,154.472,3.058,0.0179248914205769
"CAMT",347.422,335.63,11.792,0.0334582001072469
"LAWS",413.168,404.496,8.672,0.0210184890144098
