"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.076,0.062,0.014,0.00933333333333333
"WABH MMW mean_pm adapt pm",0.074,0.058,0.016,0.015
"WABH MMW 0.5 adapt pm",0.102,0.084,0.018,0.016
"WABH MMW 0.9 adapt pm",0.106,0.066,0.04,0.037
"WABH MMW mean_pm camt pm",0.106,0.066,0.04,0.0163333333333333
"WABH MMW 0.5 camt pm",0.092,0.062,0.03,0.0143333333333333
"WABH MMW 0.9 camt pm",0.152,0.104,0.048,0.0331666666666667
"Ten Rule",0.058,0.048,0.01,0.00633333333333333
"Adaptive BH",0.078,0.032,0.046,0.00926262626262626
"Regular BH",0.078,0.032,0.046,0.00926262626262626
"IHW",0.08,0.034,0.046,0.00926262626262626
"ADAPT",0,0,0,0
"SWFDR",13.498,0.692,12.806,0.139937494865624
"CAMT",4.304,1.966,2.338,0.339398825112022
"LAWS",0.776,0.502,0.274,0.087093894993895
