"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.794,0.776,0.018,0.0070031746031746
"WABH MMW mean_pm adapt pm",4.072,3.936,0.136,0.0202074655846776
"WABH MMW 0.5 adapt pm",5.56,5.374,0.186,0.0263833335144557
"WABH MMW 0.9 adapt pm",4.832,4.628,0.204,0.0396098768615126
"WABH MMW mean_pm camt pm",29.872,28.91,0.962,0.0346743459937264
"WABH MMW 0.5 camt pm",30.096,29.222,0.874,0.030348730487738
"WABH MMW 0.9 camt pm",29.172,28.422,0.75,0.0274488652914873
"Ten Rule",0.708,0.69,0.018,0.00810238095238095
"Adaptive BH",0.712,0.694,0.018,0.00810238095238095
"Regular BH",0.708,0.69,0.018,0.00810238095238095
"IHW",1.446,1.406,0.04,0.0114145021645022
"ADAPT",7.914,7.356,0.558,0.0143522979406911
"SWFDR",0.752,0.726,0.026,0.0125357142857143
"CAMT",60.73,55.494,5.236,0.0823381565839724
"LAWS",24.636,23.546,1.09,0.0435338001355867
