"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.034,0.018,0.016,0.015
"WABH MMW mean_pm adapt pm",0.02,0.008,0.012,0.012
"WABH MMW 0.5 adapt pm",0.034,0.014,0.02,0.02
"WABH MMW 0.9 adapt pm",0.068,0.014,0.054,0.052
"WABH MMW mean_pm camt pm",0.04,0.016,0.024,0.023
"WABH MMW 0.5 camt pm",0.036,0.01,0.026,0.026
"WABH MMW 0.9 camt pm",0.05,0.016,0.034,0.034
"Ten Rule",0.03,0.016,0.014,0.013
"Adaptive BH",0.036,0.006,0.03,0.014
"Regular BH",0.036,0.006,0.03,0.014
"IHW",0.036,0.006,0.03,0.014
"ADAPT",0,0,0,0
"SWFDR",9.754,0.108,9.646,0.114796520198739
"CAMT",1.706,0.168,1.538,0.306177454245101
"LAWS",0.488,0.132,0.356,0.146228571428571
