"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",133.462,130.66,2.802,0.020410100652883
"WABH MMW mean_pm adapt pm",152.45,148.316,4.134,0.0257234597678365
"WABH MMW 0.5 adapt pm",142.076,138.21,3.866,0.0261921277442626
"WABH MMW 0.9 adapt pm",68.214,66.318,1.896,0.0259121761967213
"WABH MMW mean_pm camt pm",109.248,105.962,3.286,0.0266275427133443
"WABH MMW 0.5 camt pm",105.544,102.406,3.138,0.026573561425371
"WABH MMW 0.9 camt pm",72.688,70.548,2.14,0.025336299460032
"Ten Rule",129.008,126.332,2.676,0.0200578681266766
"Adaptive BH",117.072,114.938,2.134,0.0168945915311473
"Regular BH",114.614,112.596,2.018,0.016223638446451
"IHW",128.464,126.072,2.392,0.0185485528773718
"ADAPT",103.118,100.932,2.186,0.0189497600543739
"SWFDR",117.704,112.666,5.038,0.0318740762080867
"CAMT",181.676,175.59,6.086,0.0329446454615352
"LAWS",285.466,277.92,7.546,0.0264283538745145
