"","Total Rej","Correct Rej","False Rej","FDR"
"40/160 Split",0.02,0.008,0.012,0.011
"100/100 Split",0.02,0.006,0.014,0.014
"200/200 Split",0.474,0.44,0.034,0.0193333333333333
