"","Total Rej","Correct Rej","False Rej","FDR"
"40/160 Split",2.762,2.656,0.106,0.0220802711347683
"100/100 Split",3.018,2.988,0.03,0.00597087338893004
"200/200 Split",34.016,33.438,0.578,0.0176123835140388
