"","Total Rej","Correct Rej","False Rej","FDR"
"40/160 Split",0.216,0.202,0.014,0.00991666666666667
"100/100 Split",0.038,0.022,0.016,0.015
"200/200 Split",0.36,0.312,0.048,0.0220380952380952
