"","Total Rej","Correct Rej","False Rej","FDR"
"40/160 Split",0.176,0.14,0.036,0.0256666666666667
"100/100 Split",0.022,0.012,0.01,0.01
"200/200 Split",0.244,0.202,0.042,0.0333333333333333
