"","Total Rej","Correct Rej","False Rej","FDR"
"40/160 Split",1.526,1.494,0.032,0.00837604617604618
"100/100 Split",0.902,0.852,0.05,0.0018629060679976
"200/200 Split",29.74,29.082,0.658,0.0167307355442104
